"SCHEMA_PRC","SCHEMA_STG","TABLA","ID_TABLE","FIELD","RULE_EQUAL","RULE_REGEX","RULE_FIELD","RULE_NULL","RULE_MAX","RULE_MIN","RULE_NAME","DEFAULT_VALUE","REPLACE_VALUE","RANGE_MIN","RANGE_MAX","RULE_MANDATORY"
,,"P_PEOPLE","1","FNAME","man_comp=2","fname=^[A-Z][A-Za-z-0-9\\s]+$",,,,,"Solo letras y nros y 1era en mayusculas con man_comp = 2",,,,,
,,"P_PEOPLE","1","BIRTH_DATE",,,,,,"birth_date=registration_date","BIRTH_DATE>REGISTRATION_DATE",,,,,
,,"P_AGENTS","33","HIRE_DATE",,,,,,,"HIRE_DATE > HOY",,,,"hire_date=today",
,,"P_AGENTS","33","PREV_JOB_CONFIRM_DATE",,,,,,,"PREV_JOB_CONFIRM_DATE<1900",,,"prev_job_confirm_date=01/01/1900",,
,,"P_AGENTS","33","HIRE_DATE",,,,,,,"HIRE_DATE <1900",,,"hire_date=01/01/1900",,
,,"P_AGENTS","33","FIRE_DATE",,,,,"fire_date=hire_date",,"fire_date >hire_date",,,,,
,,"P_AGENTS","33","PREV_JOB_CONFIRM_DATE",,,,,,,"PREV_JOB_CONFIRM_DATE > HOY",,,,"prev_job_confirm_date=today",
,,"P_CREDIT_CARD","10","EXPIRY_YEAR",,,,,,,"EXPIRY_YEAR < 2000",,,"expiry_year=2000",,
,,"P_CREDIT_CARD","10","EXPIRY_YEAR",,,,,,,"EXPIRY_YEAR > 2999",,,,"expiry_year=2999",
,,"P_CREDIT_CARD","10","VALID_FROM",,,,,,"valid_from=valid_to","VALID_FROM>VALID_TO",,,,,
,,"P_CREDIT_CARD","10","VALID_FROM",,,,,,,"VALID_FROM<1900",,,"valid_from=01/01/1900",,
,,"P_CREDIT_CARD","10","VALID_FROM",,,,,,,"VALID_FROM> HOY",,,,"valid_from=today",
,,"P_CREDIT_CARD","10","VALID_TO",,,,,,,"VALID_TO<1900",,,"valid_to=01/01/1900",,
,,"P_USER_ACCOUNTS","35","USER_EMAIL",,"user_email=^[A-Za-z0-9\.\+_-]+@[A-Za-z0-9\._-]+\.[a-zA-Z]*$",,,,,"Mail invalido",,,,,
,,"P_USER_ACCOUNTS","35","USER_NAME",,"user_name=^[A-Z][A-Za-zÀ-ÿ\u00f1\u00d1\\s]+$",,,,,"Solo letras y 1era en mayusculas",,,,,
,,"P_USER_ACCOUNTS","35","LOCK_ACCOUNT_DATE",,,,,,,"LOCK_ACCOUNT_DATE <1900",,,"lock_account_date=01/01/1900",,
,,"P_USER_ACCOUNTS","35","LOCK_ACCOUNT_DATE",,,,,,,"LOCK_ACCOUNT_DATE > HOY",,,,"lock_account_date=today",
